Source,Reused-Text,Final-annnotation
Careers: I am stuck in a telecom company from last 3 years? How do I get out of it? Please help.,??????: ??? ????? 3 ????? ?? ???? ??? ????? ??? ???? ??? ????†??? ?? ?? ???? ??? ???? ????†??? ????.,H
Should India make mandatory for every citizen to serve in the Army for at least 2 years?,??? ???????? ?? ?? ???? ?? ??? ?? ?? ?? 2 ??? ?? ??? ??? ????? ????? ???? ????? ???? ???? ??????,H
Which is the best gaming laptop under 50k?,50 ???? ?? ??? ??? ?? ?????? ????? ??? ??? ???,H
How can I find my lost phone?,??? ???? ????? ??? ???? ???? ?????? ????,H
"If you're uncircumcised, is it a good idea during a urine sample to pull back the foreskin, wipe off the glans, push the foreskin back, and pee?","??? ?? ??? ???? ????? ??? ?? ? ??? ????? ?? ????? ?? ????? ?? ???? ?? ?? ?? ???? ?? ???? ????? ??? ? ????? ?? ??? ??? ? ???? ?? ????? ??????? ??? ????? ?????",H
What is the space between subatomic particles considered to be?,?? ?? ????? ???? ?? ??? ??? ???,H
What faction of the UK Conservative Party is most similar to the US Republican Party?,?? ??? ???????? ????? ?? ??? ?? ???? ?????? ??????? ????? ?? ???? ???? ???,H
Is chi a form of energy?,??? ?? ??????? ?? ??? ??? ???,H
Which are some of the apps on Google Play/ios App Store having more than 10000 downloads/users?,???? ??? ?? ???? ?? ??? / ??? ????? 10000 ?? ???? ???? ???? / ?????? ???? ??  ??? ????,H
How do I address a woman if I don't know if she is married or single?,??? ??? ???? ????? ??? ?? ?? ???? ??? ?? ?? ??????,H
How do I blur the background in Canon 1200d?,??? 1200 12 1200D ?? ???? ?? ??? ?? ??? ?????? ?? ??? ????,H
Who are the five greatest Hollywood movie directors ever and why?,?? ?? ?? ???? ?? ?? ??? ???? ??? ???? ???????? ??? ??? ??? ?????,H
What are the best & iconic movie posters?,?????? ??? ????? ???? ?? ????? ??? ????,H
What is the purpose of my life? Why should I live?,???? ????? ?? ???? ??? ???†??? ???? ?????,H
Why am I able to do a finger pushup after training upper body and forearms?,????? ??? ??? ?????? ?? ????? ?? ??? ??? ???? ???? ?? ?? ???? ?? ???? ????,H
"How can I use ""have had"", ""has had"" and ""had had""?","??? ?? ??? ""??? ??"" ?? ??????? ?? ???? ???? ""????? ??? ??"" ??? ""???""?",H
"Is the term ""evolution"" explained in Vedas?","??? ?????? ""??????"" ?? ????? ????? ??? ?? ??? ???",H
What is the difference between Olark and Zopim?,?????? ??? ????? ??? ??? ??? ???,H
How dangerous are black snakes that have white stripes on their heads?,???? ???? ???? ?????? ??? ?? ?? ???? ?? ???? ????? ????,H
Why do Skechers shoes smell?,?????? ?? ????? ?? ????? ???? ??? ???,H
"As an insurance claims professional looking to enter into logistics and transportation as a planner, what is the optimum job title for which to apply?","?? ??? ??????? ???? ???? ?? ?? ???? ?? ??? ?????? ??? ?? ??? ?? ??? ??? ??? ? ??? ??? ???? ???? ?? ?????? ?? ?? ? ??????? ???? ?? ??? ????? ?? ????? ?????? ?? ????? ?? ????? ????? ??? ?????",H
"What are the characteristics of a female whose sun, moon, Venus, Mercury, Pluto and ascendant are all in Scorpio?","???? ???? ?? ??? ??????? ??? ?? ?? ???? ? ???? ? ???? ? ????? ? ????? ??? ????? ???? ?? ??? ????? ??? ????",H
How can I be handsome?,??? ??????? ???? ?????? ????,H
What is Wells Fargo's overdraft policy?,???? ????? ?? ???? ????? ?????? ??? ???,H
Why is Google called Google?,???? ?? ???? ???? ??? ???? ???,H
Does Los Angeles really look like Los Santos in GTA5?,?? ?? ?? ??? ?????? ????? ?? ?? ?? 5 ??? ??? ?????? ?? ??? ??? ??? ???,H
How does a person detect if their weed was laced with rat poison?,??? ??? ?? ???? ??? ???? ?? ?? ??? ?? ?? ???? ????? ?? ??? ?? ????? ???? ????,H
Do musicians love their own music?,??? ????????? ?? ???? ?????? ???? ???,H
"Why does Oberon punish Titania in ""A Midsummer Night's Dream""?","?????? ???????? ?? ""? ????? ???? ????"" ??? ???? ??? ???? ???",H
"What hotel in Dehradun Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","????? ? ???? ?? ???? ??? ?????? ????? ?? ?????? ??? ???? ??????? ?? ?????? ?? ??? ?? ???? ??? ???? ??? ????? ?? ??? ????? ?????",H
Does gel cause hair loss?,??? ??? ?? ????? ?? ????? ???,H
How can I see Unknown people in my dreams very clearly?,??? ???? ?????? ??? ?????? ????? ?? ?? ??? ???? ???? ????,H
Which is better the resin kitchen or the granite kitchen?,??? ?? ?????? ???? ?? ??????? ?????? ???? ????? ???? ???,H
What are some theories of life?,????? ?? ??? ?????? ??? ????,H
"Given a chance, what would you say to your future soul mate?","???? ???? ?? ? ?? ???? ?????? ?? ????? ?? ??? ???? ???",H
How do I transfer ola money to Bank?,??? ??? ???? ?? ??? ???? ?????? ??? ????? ?????? ????,H
How do I hide apps on an ??????? phone without rooting in any version of your ????????,??? ?? ?? ??????? ?? ??? ??? ???? ?? ?? ?? ???? ??? ??????? ??? ?? ??????? ?? ???? ???????,H
How do startup accelerators give you the funding?,???????? ???? ???? ???? ?? ?? ???? ????? ???? ???? ????,H
How can I use Framer.js? How do I install it or include them in an HTML page and start prototyping?,??? ?????? ?? ??? ???? ??????? ?????? ????†??? ??? ???? ?????? ???? ?? ????? ??? ??? ?? ??? ??? ???? ??? ???? ???? ??? ????? ?????? ???? ?????,H
What are issues of problems facing organization?,????? ?? ????? ????? ?? ??? ????? ????,H
How do I change the registered mobile number for the DBS bank account?,??? ?? ?? ??? ???? ?????? ?? ??? ?????? ?????? ???? ?? ???? ????? ?????,H
How do you connect HDMI computer to VGA monitor?,?? ??? ?? ??? ??? ??????? ?? ?? ?? ?? ?????? ?? ???? ????? ????,H
Is there a meaning behind the Destiny logo?,??? ????? ?? ???? ?? ????? ???? ????? ???,H
What is it like to live in the big cities of Jamaica compared to the ones in Mexico?,??????? ?? ????? ?? ?????? ????? ?? ??? ????? ??? ???? ???? ???,H
What is the purpose of your life?,?? ?? ????? ?? ???? ??? ???,H
How did pioneers cure rattlesnake bites back in the day?,??? ??? ???????? ???? ???? ?? ?? ??? ??? ????,H
How do I play FarmVille on Google+?,??? ???? + ?? ???? ???? ???? ???? ???? ????,H
Pitch a Marvel anthology series?,??? ?????? ????????? ????? ???,H
What is state in constitution of India?,???????? ?? ???? ??? ????? ??? ???,H
Is it good to do gym at morning and swimming at noon?,??? ??? ???? ??? ????? ?? ??? ?????? ???? ???? ???,H
What is spiritism?,??????? ??? ???,H
Do employees at Duke Realty have a good work-life balance? Does this differ across positions and departments?,??? ???? ?????? ?? ??????? ??? ??? ???? ?? ??? ???? ????? ???†??? ?? ????? ??? ?????? ??? ????? ???,H
I will start eating one egg per day for a month. What other small thing can I add that has very low calories and would keep me healthy? Fruit maybe?,??? ??? ????? ?? ??? ?????? ??? ???? ????? ???? ???? ???†??? ??? ??? ?? ????? ????? ??? ???? ?????? ??? ?? ??? ??? ?? ?????? ??? ??? ?? ???? ??? ??? ?????†??? ?????,H
Does women desire sex equally as much as men do?,?? ?????? ????? ?? ??? ???? ?????? ?? ??? ????? ?????? ???? ???? ??? ?? ??? ???? ????? ????,H
How do you feel when someone points out your mistake?,?? ???? ?? ?? ???? ?? ??????? ???? ?? ?? ?? ?? ???? ???? ???,H
SEO or SMO which help to get more business?,??? ?? ?? ?? ??? ??? ?? ??? ?? ??????? ??? ??? ???? ???,H
"I have a cataract in my eye, Am I eligible for Indian Airforce?","???? ???? ??? ??? ???????? ?? ? ??? ??? ????????? ??? ???? ?? ??? ????",H
What are the best ways to lose weight?,??? ?? ???? ?? ?????? ????? ??? ????,H
"Where is the Baraka River located, and how does it compare to the White Nile?","?????? ????? ???? ???? ?? ? ??? ?? ??? ?? ???? ?????? ???? ???",H
Can all women have anal sex?,??? ???? ?????? ???? ???? ?????? ?? ???? ????,H
How can I book Ronda Rousey to star in an adult movie?,??? ??? ???? ??? ??? ????? ?? ??? ????? ???? ?? ?? ??? ?? ?????? ????,H
"Why did aircraft stop using variable-sweep wings, like those on an F-14?",????? ?????? ?? ???-????  ?? ???? ???? ????? ???? ???? ?? ??????? ???? ??? ????,H
Why do you think Donald Trump is getting so much support?,?? ?? ???? ??? ????? ???? ?? ???? ????? ???? ?? ??? ???,H
I got a score of 99 in TOEFL will it negate my AWA score of 3.0?,??? ?? 99 ?? ????? ?? 3.0 ??? ???? ????? ??? ?? ??? ???????? ????? ??? ??? ???,H
Does okha express provide food?,??? ???? ???????? ????? ???? ???? ???,H
I can feel a little mass protruding out when I touch the back of my skull on both sides of the hemispheres. Is this a tumor?,??? ?? ??? ????????? ?? ????? ????? ?? ???? ?????? ?? ????? ??? ???? ????? ??? ??? ????? ?? ??? ?????? ?? ????? ?? ???? ???. ?? ??? ????? ???,H
Which army would win if fights occured between US troops from WW2 and US troops from Vietnam war?,??? ????? ????? 2 ?? ?????? ?????? ??? ?????? ?? ??? ?? ?????? ?????? ?? ????? ????? ???? ?? ????? ??? ??? ???? ???,H
What are some tips for learning the guitar on your own?,??? ?? ???? ?????? ?? ??? ??? ???? ??? ????,H
What is it like to have unique name?,?? ?????? ??? ?? ??? ???? ???,H
Is there a possibility to grow taller at 17?,17 ??? ???? ????? ?? ??? ??? ????? ???,H
I cannot control my urge to have sweets. I feel addicted. I have lost control over my mind. What can I do?,??? ???????? ????? ?? ????? ?? ???? ???? ??? ?????†???? ???? ?? ??? ???†??? ?? ???? ???? ?? ?????? ??? ??? ???†??? ??? ?? ???? ????,H
How do I physically speak with a softer voice?,???? ???? ???? ?? ??? ?????? ??? ?? ???? ??? ?????,H
Is the U.S. un-invadable?,??? ?????? ?????? ???? ???,H
Could all bitcoin mining be done by a single Raspberry Pi?,??? ???? ?? ????? ??? ??? ??? ?? ??????? ???? ?? ????? ?? ?????? ???,H
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?","???? ????? ?????? ???? ??? ??????? ?? ???†?? ?? ???? ??? ??? ???†???? ?????? ?? ?? ??? ?? ?? ?? ??? ?? ???? ?? ???? ?? ?? ?? ?? ?? 25 ????? ?? ?? ???†??? ?? ????? ?? ?? ?? ??? ???? ?? ?? ???? ??? ??? ???†??? ?? ??? ?? ???? ??? ????? ???? ??? ??? ??? ?????? ?? ? ??? ???? ??? ??? ?? ??? ???? ????? ???",H
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,??? ????? ????? ?? ????? ??? ??? ? ???? ?? ??? ??????????? ????? ?? ???? ?? ??? ?? ?? ??? ?? ?? ???? ???,H
Where is my downloaded iTunes music on my iPad?,???? ??? ??? ?? ???? ???? ??? ??? ????? ????? ???? ???,H
What's the best energy drink that can keep a person going all day long?,??? ?? ???? ?????? ????? ???? ?? ?? ????? ?? ???? ?? ????? ???? ???,H
How long does your sex last?,??? ??? ?? ?? ?? ???? ???? ???? ???,H
Why are Muslims often stereotyped as terrorists?,??? ???? ???????? ?? ??? ???? ???? ????,H
What is the aim of science?,????? ?? ???? ??? ???,H
What are some best books for CAT preparation?,?? ?? ?? ?? ????? ?? ??? ????? ?? ????? ?????? ?????? ??? ?? ????,H
How can I get food stamps in college?,??? ???? ??? ??? ?????? ???? ???? ?????? ????,H
In what instance is a half cord of wood necessary over a full cord of wood?,???? ?? ??? ???? ??? ?? ???? ??? ???? ?? ??? ????? ???,H
Can we cancel a 'Tatkal waiting list' ticket?,??? ?? '??? ?????? ?? ?????' ?? ??? ????? ?????? ????,H
"I got a right wrist fracture, I want to join the gym again should I?","??? ?? ??? ????? ????? ?????? ?? ???? ??? ?? ??? ?? ??? ???? ???? ????? ??? ??? ?? ??????",H
Why should we avoid hot tea in plastic cup?,???? ?????? ?? ?? ??? ??? ???? ?? ???? ???? ???? ??????,H
How do I increase grey matter in the brain?,??? ???? ??? ????? ??? ???? ?? ???? ???????,H
What does it feel like to have a man ejaculate inside your anus (without a condom)?,???? ??? ???? ?? ???? ???? ?? ?? ???? ??? (????? ?? ????) ????? ???????,H
How do I use Python for web development? What are the tools and the methodologies used?,??? ??? ???????? ?? ??? ???? ?? ??????? ???? ?????†??? ?? ????? ??? ????? ??? ??????? ??? ???? ???,H
Who  funded douban.com?,?? ?? ???? ??? ??? ?? ??? ?????,H
Does Anthony Bourdain own any restaurants?,??? ??????? ?????? ?? ??? ???? ???????? ???,H
What is the standard amount of time off given for an international relocation?,??? ???????? ???? ????? ???? ?? ??? ??? ?? ?????? ??? ???? ???,H
How do you act sympathetic for someones pain over text?,?? ??? ?? ??? ?? ??? ?? ??? ???????? ???? ???? ???? ????,H
What are some mind blowing tools and things that most people don't know?,???? ?? ????? ???? ??? ????? ??? ???? ??? ?? ????? ??? ?? ?? ????? ?? ??? ???? ????? ????,H
Who has proved himself/herself the best Chief Minister of India to date?,???? ?? ?? ?? ?? ?? ?? ?? ?????? ???? ???? ?? ?? ???? ??? ???,H
"Why is ""The Sound of Music"" motion picture still so famous?","""????? ?? ?????"" ???? ???? ?? ??? ???? ????? ???? ???",H
"Will ""Lucy"" get a sequel?","??? ""???"" ?? ?????? ??? ???",H
Is it safe to buy from AliExpress?,??? ??? ???????? ?? ?????? ????? ???,H
How do I get a job in NASA from India?,??? ???????? ?? ???? ??? ?????? ???? ???? ?????? ????,H
What does it mean when my boyfriend calls me sexy?,?? ???? ????? ????? ???? ????? ???? ??? ?? ?? ?? ??? ???? ???,H
What are some things new employees should know going into their first day at Marcus?,??? ???? ??? ?? ????? ??? ????? ??? ??????? ?? ????? ??? ???? ???? ?? ??? ???? ???? ??????,H
Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,?? ?? ??? ?? ?? ????? ??? ???? ???????? ?? ??? ???? 12 ??? 10 ?? ??? ?? ??? ?? ??? ?????? ???? ????? ????,H
What is the best way to prepare for IITJEE?,??? ?? ??? ?? ?? ?? ?? ????? ?? ?? ?? ???? ????? ??? ???,H
Can I renounce my US citizenship?,??? ??? ???? ?????? ????? ??? ?? ???? ????,H
What are some questions that reveal the character of a female person?,??? ?????? ??? ??? ?? ??? ????? ??? ?? ????? ?? ???? ???? ????,H
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,??????? ????????? ?? ??? ?? ??? ???????? ?? ?????? ?? ??? ??? ???? ????? ?? ??? ????? ?? ????? ??? ???????? ?? ????? ?????? ???? ???????? ?? ? ??? ????? ????,H
What‚Äôs the best way to get someone to stop for you as a hitchhiker?,??? ?? ????? ???? ?? ? ??? ??? ?? ?  ???? ?? ?? ?? ???? ????? ??? ???,H
I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,??? ???? ??? ??? ??? ?? ??????? ?? ??? ???? ???? ???? ???? ?? ?? ??? ?? ???? ??? ?? ????? ??????? ???? ?? ?? ?? ??? ?? ???? ??? ??? ??? ??? ?????,H
"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?","????????: ??????? ??? ? ??? ???? ?? ???? ????? ?? ????? ??? ??? ??????? ???? ???? ? ??? ??? ??? ???? ?? ? ??? ?? ???? ???? ? ?? ??? ??????? ????? ?? ???? ?????? ??? ???? ???",H
"28,34,18,24,26,30,35,33,38,40,31,37 find the median, mod and mean of the following data.?","28?34?18?24?26?30?35?33?38?40?31?37 ??? ??? ????? ? ???? ?? ???? ??? ??? ?? ?? ???? ???? ?????",H
Why is my steering wheel light?,???? ???????? ???? ???? ???? ???,H
"When do you use ""&"" instead of ""and""?","?? ""???"" ?? ????? ""???"" ?? ??????? ???? ????",H
Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,???? ??? ??????? ?????? ????? ?? ????? ?????? ???? ????? ???? ?????? ????? ?? ? ??? ??? ?? ????? ?? ????? ?? ????? ?? ???? ??? ???? ????? ???? ?? ????? ???? ?? ????? ????? ???? ????,H
What are the causes of low sperm count?,?? ??? ???? ?? ?????? ??? ????,H
How many jobs has Donald Trump created/support?,????? ???? ?? ???? ???????? ????? / ????? ?? ????,H
"Is it wrong that I find it ignorant of Americans to say that America is the best country in the world? I'm American living in Sydney, Australia ",??? ?? ??? ?? ?? ???? ?? ???? ???????? ?? ????? ???? ?? ?? ?????? ???? ?? ?? ?? ???? ??? ???†??? ?????? ???????? ?? ??? ???? ??? ???? ???,H
What is an easy way to attach scrapy to my web app?,???? ??? ??? ??? ??????? ????? ???? ?? ???? ????? ??? ???,H
"How can I recover the images, videos and files I accidentally deleted from the internal memory of my phone?","??? ???? ?? ???? ??? ?? ????? ?????? ?? ??? ???? ?????? ? ?????? ??? ?????? ?? ?? ??? ??????? ?????? ????",H
How do I introduce myself in a interview of a teacher?,??? ??? ????? ?? ??????? ??? ???? ????? ???? ?????,H
What have been some of the most significant contributions towards the standard model?,?????? ???? ?? ??? ??? ?? ?? ??? ????? ??? ???,H
"How many problems in total, an approximate guess, does the GeeksforGeeks website have?","??? ?????? ?? ????? ? ?????????? ??? ???? ??? ?? ???? ????? ????",H
What is the best presentation software for you tube video making (both paid and free)?,?? ?? ???? ????? ????? ?? ??? ?? ?? ???? ??? ?? ???? ???? ??? ?? (????? ?????? ??? ???),H
How do I personalize my Quora feed?,??? ???? ???? ??? ?? ?? ??? ???? ??? ???? ????,H
How can I book a short duration freighter/cargo ship cruise with only US ports of call?,??? ??? ?????? ????????? ?? ??? ???? ????? ??????? ?? ????? ????? / ????? ????? ???? ?? ??? ?? ?????? ????,H
How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,??? ????????? ????????? ???? ??? ?? ??? ???? ??? ??? ??? ???? ??? ???? ??????? ????? ??? ????????? ??? ?? ??? ???? ???? ?????? ????,H
"What do non-Indians feel about M.S. Dhoni, Virat Kohli, and company?","??? ??? ????? ? ????? ????? ? ??? ????? ?? ???? ??? ??? ????????? ??? ????? ????",H
What are common required and elective courses in philosophy?,????? ??? ??? ??? ?????? ??? ???? ??? ????,H
Should I join a coaching for CAT?,??? ???? ?? ?? ?? ?? ????? ??? ???? ???? ??????,H
"I am a young adult woman and I've never had a boyfriend. Is this normal, or is something wrong with me?","??? ??? ???? ???? ???? ??? ??? ??? ?? ???? ????? ????? ???? ????†??? ?? ????? ?? ? ?? ???? ???? ???? ???? ???",H
What is the legacy of Michael Jackson?,?????? ????? ?? ??? ????? ???,H
What is the difference between urban and rural?,???? ??? ???? ?????? ??? ??? ??? ???,H
What is an orientation programme?,?????? ?? ??????? ??? ???,H
What's life after retirement?,????????? ?? ??? ?? ????? ??? ???,H
What do I do when I don't feel like doing anything?,???? ??? ??? ???? ?? ????? ???? ?? ?? ??? ??? ?????,H
What computer science courses should I take If I want to join a product based or e-commerce company?,??? ??? ??? ?????? ?? ???? ?? ?? ????? ????? ??? ???? ???? ????? ??? ?? ???? ??????? ????? ???? ?? ???? ??? ???? ?????,H
"100-101 ICND1 got expired on August 20th, 2016. Does it mean that there won't be CCNA v2 exam anymore?",??? ??? ?? ?? 48 ?????? ???? 26 ???? 2016 ???? ?? ??? ??????†?? ?????? 27 ???? ???? ?? ???†??? ?? ???? ???????? ??? ?? ???,H
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?","???? ????? ?????? ???? ??? ??????? ?? ???†?? ?? ???? ??? ??? ???†???? ?????? ?? ?? ??? ?? ?? ?? ??? ?? ???? ?? ???? ?? ?? ?? ?? ?? 25 ????? ?? ?? ???†??? ?? ????? ?? ?? ?? ??? ???? ?? ?? ???? ??? ??? ???†??? ?? ??? ?? ???? ??? ????? ???? ??? ??? ??? ?????? ?? ? ??? ???? ??? ??? ?? ??? ???? ????? ???",H
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,??? ????? ????? ?? ????? ??? ??? ? ???? ?? ??? ??????????? ????? ?? ???? ?? ??? ?? ?? ??? ?? ?? ???? ???,H
Where is my downloaded iTunes music on my iPad?,???? ??? ??? ?? ???? ???? ??? ??? ????? ????? ???? ???,H
What's the best energy drink that can keep a person going all day long?,??? ?? ???? ?????? ????? ???? ?? ?? ????? ?? ???? ?? ????? ???? ???,H
How long does your sex last?,??? ??? ?? ?? ?? ???? ???? ???? ???,H
What is the aim of science?,????? ?? ???? ??? ???,H
What are some best books for CAT preparation?,?? ?? ?? ?? ????? ?? ??? ????? ?? ????? ?????? ?????? ??? ?? ????,H
How can I get food stamps in college?,??? ???? ??? ??? ?????? ???? ???? ?????? ????,H
In what instance is a half cord of wood necessary over a full cord of wood?,???? ?? ??? ???? ??? ?? ???? ??? ???? ?? ??? ????? ???,H
Can we cancel a 'Tatkal waiting list' ticket?,??? ?? '??? ?????? ?? ?????' ?? ??? ????? ?????? ????,H
"I got a right wrist fracture, I want to join the gym again should I?","??? ?? ??? ????? ????? ?????? ?? ???? ??? ?? ??? ?? ??? ???? ???? ????? ??? ??? ?? ??????",H
Why should we avoid hot tea in plastic cup?,???? ?????? ?? ?? ??? ??? ???? ?? ???? ???? ???? ??????,H
How do I increase grey matter in the brain?,??? ???? ??? ????? ??? ???? ?? ???? ???????,H
What does it feel like to have a man ejaculate inside your anus (without a condom)?,???? ??? ???? ?? ???? ???? ?? ?? ???? ??? (????? ?? ????) ????? ???????,H
How do I use Python for web development? What are the tools and the methodologies used?,??? ??? ???????? ?? ??? ???? ?? ??????? ???? ?????†??? ?? ????? ??? ????? ??? ??????? ??? ???? ???,H
Who  funded douban.com?,?? ?? ???? ??? ??? ?? ??? ?????,H
Does Anthony Bourdain own any restaurants?,??? ??????? ?????? ?? ??? ???? ???????? ???,H
What is the standard amount of time off given for an international relocation?,??? ???????? ???? ????? ???? ?? ??? ??? ?? ?????? ??? ???? ???,H
How do you act sympathetic for someones pain over text?,?? ??? ?? ??? ?? ??? ?? ??? ???????? ???? ???? ???? ????,H
How do you act sympathetic for someones pain over text?,???? ?? ????? ???? ??? ????? ??? ???? ??? ?? ????? ??? ?? ?? ????? ?? ??? ???? ????? ????,H
Who has proved himself/herself the best Chief Minister of India to date?,???? ?? ?? ?? ?? ?? ?? ?? ?????? ???? ???? ?? ?? ???? ??? ???,H
"Why is ""The Sound of Music"" motion picture still so famous?","""????? ?? ?????"" ???? ???? ?? ??? ???? ????? ???? ???",H
"Will ""Lucy"" get a sequel?","??? ""???"" ?? ?????? ??? ???",H
Is it safe to buy from AliExpress?,??? ??? ???????? ?? ?????? ????? ???,H
How do I get a job in NASA from India?,??? ???????? ?? ???? ??? ?????? ???? ???? ?????? ????,H
What does it mean when my boyfriend calls me sexy?,?? ???? ????? ????? ???? ????? ???? ??? ?? ?? ?? ??? ???? ???,H
What are some things new employees should know going into their first day at Marcus?,??? ???? ??? ?? ????? ??? ????? ??? ??????? ?? ????? ??? ???? ???? ?? ??? ???? ???? ??????,H
Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,?? ?? ??? ?? ?? ????? ??? ???? ???????? ?? ??? ???? 12 ??? 10 ?? ??? ?? ??? ?? ??? ?????? ???? ????? ????,H
What is the best way to prepare for IITJEE?,??? ?? ??? ?? ?? ?? ?? ????? ?? ?? ?? ???? ????? ??? ???,H
Can I renounce my US citizenship?,??? ??? ???? ?????? ????? ??? ?? ???? ????,H
What are some questions that reveal the character of a female person?,??? ?????? ??? ??? ?? ??? ????? ??? ?? ????? ?? ???? ???? ????,H
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,??????? ????????? ?? ??? ?? ??? ???????? ?? ?????? ?? ??? ??? ???? ????? ?? ??? ????? ?? ????? ??? ???????? ?? ????? ?????? ???? ???????? ?? ? ??? ????? ????,H
What‚Äôs the best way to get someone to stop for you as a hitchhiker?,??? ?? ????? ???? ?? ? ??? ??? ?? ?  ???? ?? ?? ?? ???? ????? ??? ???,H
I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,??? ???? ??? ??? ??? ?? ??????? ?? ??? ???? ???? ???? ???? ?? ?? ??? ?? ???? ??? ?? ????? ??????? ???? ?? ?? ?? ??? ?? ???? ??? ??? ??? ??? ?????,H
"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?","????????: ??????? ??? ? ??? ???? ?? ???? ????? ?? ????? ??? ??? ??????? ???? ???? ? ??? ??? ??? ???? ?? ? ??? ?? ???? ???? ? ?? ??? ??????? ????? ?? ???? ?????? ??? ???? ???",H
"28,34,18,24,26,30,35,33,38,40,31,37 find the median, mod and mean of the following data.?","28?34?18?24?26?30?35?33?38?40?31?37 ??? ??? ????? ? ???? ?? ???? ??? ??? ?? ?? ???? ???? ?????",H
Why is my steering wheel light?,???? ???????? ???? ???? ???? ???,H
"When do you use ""&"" instead of ""and""?","?? ""???"" ?? ????? ""???"" ?? ??????? ???? ????",H
Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,???? ??? ??????? ?????? ????? ?? ????? ?????? ???? ????? ???? ?????? ????? ?? ? ??? ??? ?? ????? ?? ????? ?? ????? ?? ???? ??? ???? ????? ???? ?? ????? ???? ?? ????? ????? ???? ????,H
What are the causes of low sperm count?,?? ??? ???? ?? ?????? ??? ????,H
How many jobs has Donald Trump created/support?,????? ???? ?? ???? ???????? ????? / ????? ?? ????,H
"Is it wrong that I find it ignorant of Americans to say that America is the best country in the world? I'm American living in Sydney, Australia ",??? ?? ??? ?? ?? ???? ?? ???? ???????? ?? ????? ???? ?? ?? ?????? ???? ?? ?? ?? ???? ??? ???†??? ?????? ???????? ?? ??? ???? ??? ???? ???,H
