Source,Reused-human,Final-annnotation
Do employees at Duke Realty have a good work-life balance? Does this differ across positions and departments?,کیا ڈیوک ریئلٹی کے ملازمین میں کام کرنے کا ایک اچھا توازن ہے؟ کیا یہ عہدوں اور محکموں میں مختلف ہے؟,H
I will start eating one egg per day for a month. What other small thing can I add that has very low calories and would keep me healthy? Fruit maybe?,میں ایک مہینے کے لئے روزانہ ایک انڈا کھانا شروع کروں گا۔ میں اور کون سی چھوٹی چھوٹی چیز شامل کرسکتا ہوں جس میں بہت کم کیلوری ہوں اور وہ مجھے صحت مند رکھے؟ پھل شاید؟,H
Does women desire sex equally as much as men do?,جب عورتیں مردوں کی طرح جنسی تعلقات کے لئے حوصلہ افزائی نہیں کرتی ہیں تو مرد کیوں چاہتے ہیں؟,H
How do you feel when someone points out your mistake?,جب کوئی آپ کی غلطی کی نشاندہی کرتا ہے تو آپ کو کیسا لگتا ہے؟,H
SEO or SMO which help to get more business?,ایس ای او یا ایس ایم او کون سے کاروبار میں مدد ملتا ہے؟,H
"I have a cataract in my eye, Am I eligible for Indian Airforce?","میری آنکھ میں ایک موتیابند ہے ، کیا میں ہندوستانی ایر فورس کے اہل ہوں؟",H
What are the best ways to lose weight?,وزن کم کرنے کے بہترین طریقے کیا ہیں؟,H
"Where is the Baraka River located, and how does it compare to the White Nile?","دریائے بارکہ کہاں واقع ہے ، اور یہ نیل سے کیسے موازنہ کرتا ہے؟",H
Can all women have anal sex?,کیا ساری خواتین مقعد جنسی تعلقات کر سکتی ہیں؟,H
How can I book Ronda Rousey to star in an adult movie?,میں کسی بالغ فلم میں ستارے کے لیے رونڈا روسی کو کس طرح بک کرسکتا ہوں؟,H
"Why did aircraft stop using variable-sweep wings, like those on an F-14?",ہوائی جہازوں نے ایف-چودا  پر والے جیسے متغیر سویپ پروں کا استعمال کیوں روک دیا؟,H
Why do you think Donald Trump is getting so much support?,آپ کے خیال میں ڈونلڈ ٹرمپ کو اتنا تعاون کیوں مل رہا ہے؟,H
I got a score of 99 in TOEFL will it negate my AWA score of 3.0?,میں نے 99 کے اسکور کو 3.0 میں میری ٹوئفل کیا ہے ایک ڈبلیوایک اسکور نفی کیا ہے؟,H
Does okha express provide food?,کیا اوکھ ایکسپریس کھانا مہیا کرتی ہے؟,H
I can feel a little mass protruding out when I touch the back of my skull on both sides of the hemispheres. Is this a tumor?,میں جب میں گولاردقوں کے دونوں اطراف پر میری کھوپڑی کے پیچھے چھو باہر پھیلا ہوا ایک چھوٹا سا بڑے پیمانے پر محسوس کر سکتے ہیں. یہ ایک ٹیومر ہے؟,H
Which army would win if fights occured between US troops from WW2 and US troops from Vietnam war?,اگر ڈبلیو ڈبلیو 2 کے امریکی فوجیوں اور ویتنام کی جنگ سے امریکی فوجیوں کے مابین لڑائی ہوئی تو کونسی فوج جیت جائے گی؟,H
What are some tips for learning the guitar on your own?,خود ہی گٹار سیکھنے کے لئے کچھ نکات کیا ہیں؟,H
What is it like to have unique name?,یہ انوکھا نام ہے کیا پسند ہے؟,H
Is there a possibility to grow taller at 17?,17 میں طویل بڑھنے کے لئے ایک امکان ہے؟,H
I cannot control my urge to have sweets. I feel addicted. I have lost control over my mind. What can I do?,میں مٹھائیاں کھانے کی خواہش پر قابو نہیں رکھ سکتا۔ مجھے عادی لگ رہا ہے۔ میں نے اپنے دماغ پر کنٹرول کھو دیا ہے۔ میں کیا کر سکتا ہوں؟,H
How do I physically speak with a softer voice?,نرمی والی آواز سے میں جسمانی طور پر کیسے بات کروں؟,H
Is the U.S. un-invadable?,کیا امریکہ ناقابل حملہ ہے؟,H
Could all bitcoin mining be done by a single Raspberry Pi?,کیا تمام بٹ کوائن کان کنی ایک ہی راسبیری پائی کے ذریعہ کی جاسکتی ہے؟,H
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?","میرا سابقہ ​​دوست میری کار انشورنس پر ہے۔ اس کی اپنی ایک کار ہے۔ میرا اندازہ ہے کہ میں اس کو اس وقت تک چھوڑ ہی جاؤں گی جب تک کہ وہ 25 فروری تک نہ ہو۔ میں نے دیکھا کہ اس کا ایک دوست اس کی گاڑی چلا رہا ہے۔ اگر وہ کسی کو اپنی کار ادھار لینے دیں اور کچھ ہوجائے تو ، کیا ویسے بھی مجھ پر کچھ واپس آسکتا ہے؟",H
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,میں ایپلی کیشنس کی تعمیر اور تعی ن کرنے کے لئے مائیکروسافٹ ایزور کے ساتھ بٹ بکٹ کو کس طرح ضم کر سکتا ہوں,H
Where is my downloaded iTunes music on my iPad?,میرے آئی پیڈ پر میری ڈاؤن لوڈ آئی ٹیونز میوزک کہاں ہے؟,H
What's the best energy drink that can keep a person going all day long?,کون سا ایسا بہترین انرجی ڈرنک ہے جو انسان کو سارا دن چلاتا رہتا ہے؟,H
How long does your sex last?,تنی دیر تک آپ کی جنسی تکلف رہتی ہے؟,H
Why are Muslims often stereotyped as terrorists?,غیر مسلم مسلمانوں سے کیا توقع کرتے ہیں؟,H
What is the aim of science?,سائنس کا مقصد کیا ہے؟,H
What are some best books for CAT preparation?,سی اے ٹی کی تیاری کے لئے سیکشن کے مطابق بہترین کتابیں کون سی ہیں؟,H
How can I get food stamps in college?,میں کالج میں فوڈ اسٹامپ کیسے حاصل کرسکتا ہوں؟,H
In what instance is a half cord of wood necessary over a full cord of wood?,لکڑی کی ایک پوری ہڈی کے اوپر نصف لکڑی کس طرح ضروری ہے؟,H
Can we cancel a 'Tatkal waiting list' ticket?,کیا ہم 'تتل انتظار کی فہرست' کا ٹکٹ منسوخ کرسکتے ہیں؟,H
"I got a right wrist fracture, I want to join the gym again should I?","میں نے ایک دائیں کلائی فریکچر ہو گیا، میں نے پھر جم میں شامل کرنا چاہتے ہیں میں نے چاہئے؟",H
Why should we avoid hot tea in plastic cup?,ہمیں پلاسٹک کے کپ میں گرم چائے سے کیوں گریز کرنا چاہئے؟,H
How do I increase grey matter in the brain?,میں دماغ میں بھوری رنگ مادے کو کیسے بڑھاؤں؟,H
What does it feel like to have a man ejaculate inside your anus (without a condom)?,ایسا کیا لگتا ہے جیسے آدمی آپ کے مقعد میں (کنڈوم کے بغیر) انزال ہوجائے؟,H
How do I use Python for web development? What are the tools and the methodologies used?,میں ویب ڈویلپمنٹ کے لئے ازگر کا استعمال کیسے کروں؟ کون سے اوزار اور طریقہ کار استعمال کیا جاتا ہے؟,H
Who  funded douban.com?,کس نے ڈوبن ڈاٹ کام کو فنڈ دیئے؟,H
Does Anthony Bourdain own any restaurants?,کیا انتھونی بورڈین کے پاس کوئی ریستوراں ہے؟,H
What is the standard amount of time off given for an international relocation?,بین الاقوامی مقام تبدیل کرنے کے لئے وقت کی معیاری رقم کتنی ہے؟,H
How do you act sympathetic for someones pain over text?,آپ متن پر کسی کے درد کے لئے ہمدردانہ سلوک کیسے کرتے ہیں؟,H
What are some mind blowing tools and things that most people don't know?,دماغ کو اڑانے والے کچھ اوزار اور ایسی کون سی چیزیں ہیں جن کا زیادہ تر لوگ نہیں جانتے ہیں؟,H
Who has proved himself/herself the best Chief Minister of India to date?,اپنے آپ کو آج تک کا سب سے بہترین وزیر اعلی کس نے ثابت کیا ہے؟,H
"Why is ""The Sound of Music"" motion picture still so famous?","""ساؤنڈ آف میوزک"" موشن پکچر اب بھی اتنی مشہور کیوں ہے؟",H
"Will ""Lucy"" get a sequel?","کیا ""لسی"" کا سیکوئل ملے گا؟",H
Is it safe to buy from AliExpress?,کیا علی ایکسپریس سے خریدنا محفوظ ہے؟,H
How do I get a job in NASA from India?,میں ہندوستان سے ناسا میں ملازمت کیسے حاصل کرسکتا ہوں؟,H
What does it mean when my boyfriend calls me sexy?,جب میرے بوائے فرینڈ مجھے سیکسی کہتے ہیں تو اس کا کیا مطلب ہے؟,H
What are some things new employees should know going into their first day at Marcus?,کچھ ایسی کون سی چیزیں ہیں جنہیں نئے ملازمین کو مارکس میں اپنے پہلے دن میں جانا جانا چاہئے؟,H
Why does the CBSE setting have such tough papers for the class 12 and 10 for board exams?,سی بی ایس ای کی ترتیب میں بورڈ امتحانات کے لئے کلاس 12 اور 10 کے لئے اس طرح کے سخت کاغذات کیوں موجود ہیں؟,H
What is the best way to prepare for IITJEE?,آئی آئ یٹی جے ای ای کی تیاری کا سب سے اچھا طریقہ کیا ہے؟,H
Can I renounce my US citizenship?,کیا میں اپنی امریکی شہریت ترک کر سکتا ہوں؟,H
What are some questions that reveal the character of a female person?,کچھ سوالات کیا ہیں جو کسی خاتون فرد کے کردار کو ظاہر کرتے ہیں؟,H
What math does a complete newbie need to understand algorithms for computer programming? What books on algorithms are suitable for a complete beginner?,کمپیوٹر پروگرامنگ کے لیے اے ایل الگورتھم کو سمجھنے کے لئے ایک مکمل نوبیا کو کیا ریاضی کی ضرورت ہے؟ الگورتھم پر کونسی کتابیں مکمل ابتدائیہ کے ل لیے موزوں ہیں؟,H
Whatâ€™s the best way to get someone to stop for you as a hitchhiker?,کسی کو رکاوٹ بننے کے ل کسی کسی کے ل  رکنے کا سب سے اچھا طریقہ کیا ہے؟,H
I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,میں اپنا فون بہت دیر سے استعمال کر رہا ہوں۔ مجھے ایسا لگتا ہے کہ میں نے اپنے فون کو زیادہ استعمال کرنے سے ای ڈی ایچ ڈی حاصل کیا ہے۔ میں کیا کروں؟,H
"Pangrams: In English, using all the letters of the alphabet exactly once, and picking one dictionary, can you make a sentence, or any set of common English words?","پینگرامس: انگریزی میں ، حرف تہجی کے تمام حرفوں کو بالکل ایک بار استعمال کرتے ہوئے ، اور ایک لغت اٹھا کر ، کیا آپ کوئی جملہ ، یا عام انگریزی الفاظ کا کوئی مجموعہ بنا سکتے ہو؟",H
"28,34,18,24,26,30,35,33,38,40,31,37 find the median, mod and mean of the following data.?","28،34،18،24،26،30،35،33،38،40،31،37 درج ذیل اعداد و شمار کا وسط، موڈ اور اس کا مطلب تلاش کریں۔",H
Why is my steering wheel light?,میرا اسٹیئرنگ وہیل لائٹ کیوں ہے؟,H
"When do you use ""&"" instead of ""and""?","آپ ""اور"" کے بجائے ""اور"" کب استعمال کرتے ہیں؟",H
Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?,بالی ووڈ انڈسٹری بیرونی لوگوں کی حوصلہ افزائی نہیں کرتی؟ سابق بیرونی افراد کے ل ایک ایک یا زیادہ سے زیادہ دو مواقع مل سکتے ہیں جبکہ اسٹار بچوں کو انجام دینے کے متعدد مواقع ملتے ہیں؟,H
What are the causes of low sperm count?,کم منی گنتی کی وجوہات کیا ہیں؟,H
How many jobs has Donald Trump created/support?,ڈونلڈ ٹرمپ نے کتنی ملازمتیں تخلیق / تعاون کی ہیں؟,H
"Is it wrong that I find it ignorant of Americans to say that America is the best country in the world? I'm American living in Sydney, Australia ",کیا یہ غلط ہے کہ مجھے یہ کہنا امریکیوں سے لاعلم لگتا ہے کہ امریکہ دنیا کا سب سے اچھا ملک ہے؟ میں امریکی آسٹریلیا کے شہر سڈنی میں مقیم ہوں,H
What is an easy way to attach scrapy to my web app?,میرے ویب ایپ میں اسکراپی منسلک کرنے کا آسان طریقہ کیا ہے؟,H
"How can I recover the images, videos and files I accidentally deleted from the internal memory of my phone?","میں غلطی سے اپنے فون کی داخلی میموری سے حذف کردہ تصاویر ، ویڈیوز اور فائلوں کو کس طرح بازیافت کرسکتا ہوں؟",H
How do I introduce myself in a interview of a teacher?,میں کسی استاد کے انٹرویو میں اپنا تعارف کیسے کروں؟,H
What have been some of the most significant contributions towards the standard model?,معیاری ماڈل کی طرف کچھ سب سے اہم شراکت کیا ہے؟,H
"How many problems in total, an approximate guess, does the GeeksforGeeks website have?","ایک اندازے کے مطابق ، گیکسفورجکس ویب سائٹ میں کل کتنے مسائل ہیں؟",H
What is the best presentation software for you tube video making (both paid and free)?,آپ کو ٹیوب ویڈیو بنانے کے لئے سب سے بہتر پیش کش سافٹ ویئر کیا ہے (دونوں معاوضہ اور مفت),H
How do I personalize my Quora feed?,میں اپنی کورا فیڈ کو کس طرح شخصی بنا سکتا ہوں؟,H
How can I book a short duration freighter/cargo ship cruise with only US ports of call?,میں صرف امریکی بندرگاہوں پر کال کرکے مختصر دورانیے کا سامان بردار / سامان بردار جہاز کس طرح بک کرسکتا ہوں؟,H
How do I excel in computer sciece & programing without wasting four years in CS degree in Indian engineering college?,میں ہندوستانی انجینئرنگ کالج میں سی ایس ڈگری میں چار سال ضائع کیے بغیر کمپیوٹر اسکیس اور پروگرامنگ میں کس طرح عبور حاصل کرسکتا ہوں؟,H
"What do non-Indians feel about M.S. Dhoni, Virat Kohli, and company?","ایم ایس دھونی ، ویرات کوہلی ، اور کمپنی کے بارے میں غیر ہندوستانی کیا سوچتے ہیں؟",H
What are common required and elective courses in philosophy?,فلسفہ میں عام اور مطلوبہ عام کورس کیا ہیں؟,H
Should I join a coaching for CAT?,کیا مجھے سی اے ٹی کی کوچنگ میں شامل ہونا چاہئے؟,H
"I am a young adult woman and I've never had a boyfriend. Is this normal, or is something wrong with me?","میں ایک جوان بالغ عورت ہوں اور میں نے کبھی بوائے فرینڈ نہیں لیا۔ کیا یہ معمول ہے ، یا میرے ساتھ کوئی غلطی ہے؟",H
What is the legacy of Michael Jackson?,مائیکل جیکسن کی کیا میراث ہے؟,H
What is the difference between urban and rural?,شہری اور دیہی علاقوں میں کیا فرق ہے؟,H
What is an orientation programme?,واقفیت کا پروگرام کیا ہے؟,H
What's life after retirement?,ریٹائرمنٹ کے بعد کی زندگی کیا ہے؟,H
What do I do when I don't feel like doing anything?,مجھے کچھ بھی کرنے کی خواہش نہیں ہو جب میں کیا کروں؟,H
What computer science courses should I take If I want to join a product based or e-commerce company?,اگر میں کسی پروڈکٹ پر مبنی یا ای کامرس کمپنی میں شامل ہونا چاہتا ہوں تو مجھے کمپیوٹر سائنس کورس کس کورس میں لینا چاہ؟؟,H
"100-101 ICND1 got expired on August 20th, 2016. Does it mean that there won't be CCNA v2 exam anymore?",این ایم ٹی سی 48 سوالیہ پیپر 26 اگست 2016 جمعہ کو لیک ہوگیا۔ یہ امتحان 27 اگست ہفتہ کو ہے۔ کیا یہ پورے ہندوستان میں سچ ہے؟,H
"My exgirlfriend is on my car insurance. She has her own car. I was going to leave her on it until she is 25 (Feb) just to be nice, I guess. I saw a friend of hers driving her car. If she lets someone borrow her car and something happens, can anything fall back on me in anyway?","میرا سابقہ ​​دوست میری کار انشورنس پر ہے۔ اس کی اپنی ایک کار ہے۔ میرا اندازہ ہے کہ میں اس کو اس وقت تک چھوڑ ہی جاؤں گی جب تک کہ وہ 25 فروری تک نہ ہو۔ میں نے دیکھا کہ اس کا ایک دوست اس کی گاڑی چلا رہا ہے۔ اگر وہ کسی کو اپنی کار ادھار لینے دیں اور کچھ ہوجائے تو ، کیا ویسے بھی مجھ پر کچھ واپس آسکتا ہے؟",H
How can I integrate Bitbucket with Microsoft Azure to build and deploy applications?,میں ایپلی کیشنس کی تعمیر اور تعی ن کرنے کے لئے مائیکروسافٹ ایزور کے ساتھ بٹ بکٹ کو کس طرح ضم کر سکتا ہوں,H
Where is my downloaded iTunes music on my iPad?,میرے آئی پیڈ پر میری ڈاؤن لوڈ آئی ٹیونز میوزک کہاں ہے؟,H
What's the best energy drink that can keep a person going all day long?,کون سا ایسا بہترین انرجی ڈرنک ہے جو انسان کو سارا دن چلاتا رہتا ہے؟,H
How long does your sex last?,تنی دیر تک آپ کی جنسی تکلف رہتی ہے؟,H
What is the aim of science?,سائنس کا مقصد کیا ہے؟,H
What are some best books for CAT preparation?,سی اے ٹی کی تیاری کے لئے سیکشن کے مطابق بہترین کتابیں کون سی ہیں؟,H
How can I get food stamps in college?,میں کالج میں فوڈ اسٹامپ کیسے حاصل کرسکتا ہوں؟,H
In what instance is a half cord of wood necessary over a full cord of wood?,لکڑی کی ایک پوری ہڈی کے اوپر نصف لکڑی کس طرح ضروری ہے؟,H
Can we cancel a 'Tatkal waiting list' ticket?,کیا ہم 'تتل انتظار کی فہرست' کا ٹکٹ منسوخ کرسکتے ہیں؟,H
"I got a right wrist fracture, I want to join the gym again should I?","میں نے ایک دائیں کلائی فریکچر ہو گیا، میں نے پھر جم میں شامل کرنا چاہتے ہیں میں نے چاہئے؟",H
Why should we avoid hot tea in plastic cup?,ہمیں پلاسٹک کے کپ میں گرم چائے سے کیوں گریز کرنا چاہئے؟,H
How do I increase grey matter in the brain?,میں دماغ میں بھوری رنگ مادے کو کیسے بڑھاؤں؟,H
What does it feel like to have a man ejaculate inside your anus (without a condom)?,ایسا کیا لگتا ہے جیسے آدمی آپ کے مقعد میں (کنڈوم کے بغیر) انزال ہوجائے؟,H
How do I use Python for web development? What are the tools and the methodologies used?,میں ویب ڈویلپمنٹ کے لئے ازگر کا استعمال کیسے کروں؟ کون سے اوزار اور طریقہ کار استعمال کیا جاتا ہے؟,H
Who  funded douban.com?,کس نے ڈوبن ڈاٹ کام کو فنڈ دیئے؟,H
Does Anthony Bourdain own any restaurants?,کیا انتھونی بورڈین کے پاس کوئی ریستوراں ہے؟,H
What is the standard amount of time off given for an international relocation?,بین الاقوامی مقام تبدیل کرنے کے لئے وقت کی معیاری رقم کتنی ہے؟,H
How do you act sympathetic for someones pain over text?,آپ متن پر کسی کے درد کے لئے ہمدردانہ سلوک کیسے کرتے ہیں؟,H
How do you act sympathetic for someones pain over text?,دماغ کو اڑانے والے کچھ اوزار اور ایسی کون سی چیزیں ہیں جن کا زیادہ تر لوگ نہیں جانتے ہیں؟,H
Who has proved himself/herself the best Chief Minister of India to date?,اپنے آپ کو آج تک کا سب سے بہترین وزیر اعلی کس نے ثابت کیا ہے؟,H
"Why is ""The Sound of Music"" motion picture still so famous?","""ساؤنڈ آف میوزک"" موشن پکچر اب بھی اتنی مشہور کیوں ہے؟",H
